feature,mean_importance,fold_occurrences
sample__aa_L__event_S__count,0.0012111946824006736,5
NCAPD2,0.0012093494995497167,5
ATXN1,0.0012077624443918467,5
RASA1,0.0012052975944243371,5
COL8A2,0.001193675328977406,1
sample__aa_Q__event_M__count,0.001191782613750547,5
CDH1,0.0011871878756210207,5
COL5A2,0.0011870044050738215,5
SMOX,0.0011857590405270457,5
HLA-B,0.0011854994925670325,5
sample__aa_event_count_max,0.0011827886337414384,5
FASN,0.0011776724015362561,5
PRKCH,0.0011775599326938392,5
ABLIM1,0.001173064881004393,5
RBM5,0.0011706944787874818,3
sample__event_ST__count,0.0011694642715156078,5
ACTB,0.0011670401436276734,2
ERBB3,0.0011642282828688622,5
sample__aa_Y__event_M__count,0.0011610308662056922,5
VWF,0.0011589764559175818,5
PKD1,0.0011584125109948217,5
ARID5B,0.0011577929719351232,5
SOX9,0.0011521743144840002,1
PRC1,0.0011457130778580904,5
sample__event_FS__one_gene_count,0.0011443855590187013,5
GDA,0.0011412390042096377,5
WRN,0.0011394111439585685,5
sample__event_FS__count,0.0011359360185451805,5
HSD17B4,0.0011232089600525796,5
FAM120A,0.0011179789900779725,5
PGR,0.0011176730389706791,5
sample__aa_G__event_M__count,0.0011175387189723551,5
sample__event_S__one_gene_count,0.001110908924601972,5
SLIT2,0.0011107477243058384,5
PIKFYVE,0.0011097084847278894,5
sample__aa_E__event_ST__count,0.0011090701213106514,5
ADAM23,0.0011078058159910142,5
GP2,0.0011071627493947744,5
sample__event_ST__capped_digit,0.0011033486807718873,5
ZC3H14,0.0010961441439576447,3
LDB3,0.0010904466500505805,5
MYH2,0.0010868074896279722,5
GABBR1,0.001082790014334023,5
F8,0.0010766587918624281,5
DST,0.0010750194545835257,5
IGF1R,0.0010703479638323188,5
sample__aa_H__event_FS__count,0.0010703174804802984,5
COL6A2,0.001065526867751032,5
KRT1,0.0010628943680785596,5
CREBBP,0.0010607111908029765,5
PARP14,0.001060280145611614,5
TACC3,0.0010590416961349547,5
sample__aa_G__event_ST__count,0.0010531970649026335,5
EPHA5,0.0010486373794265091,5
sample__weighted_event_digit_code,0.0010481037199497223,5
AXIN1,0.0010463370359502732,5
SLC4A1,0.0010449481080286205,5
sample__event_ST__one_gene_count,0.0010441435617394746,5
DSC2,0.0010438144207000732,5
sample__event_M__capped_digit,0.0010417861863970756,5
EPHA2,0.0010403136897366495,5
ITIH5,0.0010366774164140224,5
sample__aa_S__event_MT__count,0.001029350934550166,5
sample__aa_P__event_FS__count,0.0010282854316756129,5
ELF4,0.0010279596972395666,4
HELZ2,0.001027679059188813,5
ADRA2B,0.001026799064129591,5
SPTBN1,0.0010261751478537918,5
sample__aa_I__event_S__count,0.0010261497809551656,5
PGD,0.0010260732378810644,1
MTHFD1,0.0010253417771309615,5
sample__aa_C__event_M__count,0.0010248002246953547,5
PNPLA8,0.0010226831072941422,5
PRKDC,0.0010213876375928521,5
sample__aa_R__event_ST__count,0.0010190794127993286,5
LY75,0.0010155993688385934,5
PCK1,0.0010111554758623243,5
KCNH2,0.0010046393610537053,5
MAP3K1,0.0010036655352450908,5
CACNA1H,0.0010009530000388623,5
GAL3ST1,0.0009986015720642172,5
FBXO34,0.0009952128457371145,5
RBM14,0.000992163404589519,4
NDC80,0.0009919069125317037,2
sample__aa_Q__event_ST__count,0.0009901983430609107,5
sample__aa_W__event_M__count,0.0009893262526020409,5
FLNC,0.0009886448737233878,5
PTPRM,0.0009861813508905471,5
RREB1,0.0009796914295293392,5
EEF2,0.0009792218392249198,5
MFHAS1,0.0009763807291164994,5
SPTA1,0.0009754382888786494,5
NOTCH2,0.0009735902596730739,5
FLNA,0.0009725175681523978,5
sample__aa_M__event_MT__count,0.0009719257708638906,5
ABCD3,0.0009716401109471917,2
MEP1A,0.0009712503611808643,5
EXOSC9,0.0009665342513471842,1
FPR1,0.000963377497100737,4
WASL,0.000961591606028378,1
ZNF112,0.0009604499558918178,5
ROS1,0.0009582117665559054,5
CEP131,0.0009569052839651704,5
SLC23A2,0.0009564211359247565,5
sample__event_FS__capped_digit,0.000953702291008085,5
DOCK10,0.0009526705136522651,5
SATB1,0.000951952941250056,5
BRCA2,0.0009517142083495855,5
sample__aa_A__event_FS__count,0.0009472957695834339,5
sample__aa_I__event_M__count,0.00094641501782462,5
GATA3,0.0009439584100618958,5
LCT,0.0009420021902769804,5
CADM3,0.0009364464320242405,5
BMP2K,0.0009340594988316298,5
MAP1B,0.000933766586240381,5
ARPP21,0.0009333306108601392,5
NTNG1,0.0009318580909166485,5
NFASC,0.0009315446834079922,5
INPP4B,0.0009293485316447913,5
ALMS1,0.0009286215004976839,5
NTRK3,0.0009275043848901987,5
HAS2,0.0009250801522284746,5
RBBP8,0.000924061588011682,5
KALRN,0.0009218989172950387,5
PTPRJ,0.0009195288061164319,5
KCNN1,0.0009186914345870415,3
sample__aa_L__event_MT__count,0.000915318459738046,5
MYH3,0.0009136788896284998,5
ITGAM,0.0009127496276050806,5
JAG1,0.0009088620194233954,5
PCLO,0.0009073773864656687,5
COL1A1,0.0009067884180694819,5
TGFBR2,0.0009067419217899442,5
CD44,0.00090549181913957,1
PIK3CD,0.0009049991727806628,5
TMPRSS6,0.000902734906412661,5
COPB1,0.0009018090961035341,5
CLCN3,0.0009000006233691238,5
sample__aa_P__event_S__count,0.0008989458554424345,5
SOS1,0.0008972903247922659,5
sample__aa_N__event_S__count,0.000895899604074657,5
SUPT5H,0.0008949010807555169,5
ABCA1,0.0008902815170586109,5
PTPRD,0.0008899006410501897,5
DYNC1H1,0.0008894854050595314,5
HK1,0.0008890041382983327,5
FBLN1,0.0008879763714503497,5
MMP16,0.0008857446198817342,5
CHAF1A,0.0008839326270390302,5
NOS2,0.0008791442960500717,5
PTPRE,0.000877681135898456,5
CMTR1,0.0008766993996687233,4
RAPGEF5,0.000876166857779026,1
NTM,0.0008756296709179878,5
PLCB1,0.0008739704324398189,5
