feature,transform,oof_macro_f1,fold_std,log_loss,lower_quartile_class_f1,fold_scores
mutated_gene_count,clip99,0.09346467375405734,0.005337493837727072,2.824254391066662,0.01432536774585348,"[0.08305833, 0.09326679, 0.0866996, 0.09135588, 0.09851665]"
mutated_gene_count,raw,0.09327090054091625,0.0034029951054455375,2.826423094497932,0.011598935017936686,"[0.09020634, 0.08928068, 0.08789857, 0.08650031, 0.09637904]"
mutated_gene_count,log1p,0.09327090054091625,0.0034029951054455375,2.826423094497932,0.011598935017936686,"[0.09020634, 0.08928068, 0.08789857, 0.08650031, 0.09637904]"
mutated_gene_count,clip995,0.09281975477360487,0.008185694266906022,2.8273560107043445,0.013905239543915223,"[0.08697588, 0.08692285, 0.08389093, 0.08612942, 0.10625169]"
total_variant_count,raw,0.09077482197027101,0.007588229821463249,2.830262100003085,0.01411279405014915,"[0.08639973, 0.07937228, 0.08890363, 0.08336685, 0.10173445]"
total_variant_count,log1p,0.09077482197027101,0.007588229821463249,2.830262100003085,0.01411279405014915,"[0.08639973, 0.07937228, 0.08890363, 0.08336685, 0.10173445]"
total_variant_count,clip995,0.08985572558076015,0.006680262900294275,2.8312776048819415,0.012928931130768028,"[0.08303162, 0.08086348, 0.08834877, 0.08324302, 0.09940134]"
total_variant_count,clip99,0.08758729077918265,0.005600240057505578,2.8309439539027146,0.013652776139035042,"[0.07905466, 0.08085732, 0.09020198, 0.08086461, 0.09277516]"
missense_count,raw,0.06862912656365179,0.006037691094412515,2.872849678495998,0.0036525004266939752,"[0.07431825, 0.06190023, 0.06912154, 0.05708696, 0.06250445]"
missense_count,log1p,0.06862912656365179,0.006037691094412515,2.872849678495998,0.0036525004266939752,"[0.07431825, 0.06190023, 0.06912154, 0.05708696, 0.06250445]"
missense_count,clip995,0.06836359766653131,0.006218274754509784,2.874906609922848,0.004585799426981391,"[0.07393453, 0.06125442, 0.06941271, 0.05658647, 0.0618378]"
missense_count,clip99,0.0674680739359128,0.004685760294477564,2.876129159552023,0.0034666002407937892,"[0.06757051, 0.06244796, 0.07049668, 0.05726659, 0.06130847]"
truncating_count,raw,0.042931398690592336,0.005468085174923695,3.0594463991686687,0.0,"[0.03306453, 0.03132029, 0.0470073, 0.03800196, 0.03618199]"
truncating_count,log1p,0.042931398690592336,0.005468085174923695,3.0594463991686687,0.0,"[0.03306453, 0.03132029, 0.0470073, 0.03800196, 0.03618199]"
truncating_count,clip99,0.04034404629465622,0.006793637533930978,3.060268026465872,0.0,"[0.02597849, 0.02761566, 0.04442808, 0.03799741, 0.03508844]"
truncating_count,clip995,0.03997203603271195,0.006727548009586131,3.0610182959226937,0.0,"[0.02439092, 0.02940378, 0.04412928, 0.03609668, 0.03642515]"
complex_count,raw,0.02065886977666439,0.0018703044303709506,3.2267863154837837,0.0,"[0.01394444, 0.01056632, 0.01349498, 0.01335189, 0.01644665]"
complex_count,log1p,0.02065886977666439,0.0018703044303709506,3.2267863154837837,0.0,"[0.01394444, 0.01056632, 0.01349498, 0.01335189, 0.01644665]"
complex_count,clip99,0.02065886977666439,0.0018703044303709506,3.227459336471892,0.0,"[0.01394444, 0.01056632, 0.01349498, 0.01335189, 0.01644665]"
complex_count,clip995,0.02065886977666439,0.0018703044303709506,3.2271355632858865,0.0,"[0.01394444, 0.01056632, 0.01349498, 0.01335189, 0.01644665]"
