group,rows,prevalence,exp469_accuracy,exp479_accuracy,accuracy_delta,exp469_only_correct,exp479_only_correct,prediction_changed,mean_true_class_probability_delta
range_replacement,101,0.01628769553297855,0.5445544554455446,0.5643564356435643,0.01980198019801971,1,3,12,-0.03083956263168316
range_stop,56,0.009030801483631673,0.5,0.5178571428571429,0.017857142857142905,1,2,8,-0.010624416946428569
range_no_change,47,0.0075794226737622965,0.7021276595744681,0.723404255319149,0.021276595744680882,0,1,2,0.024387857765957442
any_range,182,0.029350104821802937,0.5769230769230769,0.5989010989010989,0.02197802197802201,2,6,20,-0.01529953642747253
no_range,6019,0.9706498951781971,0.3985711912277787,0.39458381790995184,-0.003987373317826837,140,116,583,-0.014327964248584485
